品名,價格,價格2,折扣%,評價,評論數
Logitech Bluetooth mouse M337 Wireless Optical Mouse,"₹1,099","₹2,495",55% off,4.5,(237)
Logitech MX ANYWHERE 2S Wireless Hybrid Mouse,"₹5,498","₹6,995",21% off,4.7,(3)
Logitech M720 Wireless Optical Mouse,"₹4,995",,,,
Logitech 10l Mousepad,₹399,₹999,60% off,4.1,(19)
Logitech H600 Bluetooth Headset,"₹5,099","₹5,995",14% off,3.6,(25)
Saco Keyboard Case for Logitech Easy-Switch K810 / K811...,₹315,₹800,60% off,,
Amkette Xcite Pro Mouse & Wired USB Laptop Keyboard,₹639,₹749,14% off,4.2,"(2,081)"
HP 100 Wired USB Desktop Keyboard,₹549,₹799,31% off,4.4,"(1,541)"
Flipkart SmartBuy Multi Device USB Keyboard,₹549,₹899,38% off,4.3,"(2,633)"
Quantum QHM7710 Multimedia Combo Wired USB Multi-device...,₹449,₹480,6% off,3.9,(963)
Microsoft Surface Go Magnetic Tablet Keyboard,"₹11,799",,,4.6,(489)
Lenovo 510 Mouse & Wireless Laptop Keyboard,"₹1,699","₹2,999",43% off,4.2,(249)
HP K2500 E5E77AA Wireless Desktop Keyboard,₹899,"₹1,299",30% off,4.2,(341)
Microsoft Surface Go Magnetic Tablet Keyboard,"₹8,699",,,4.6,(489)
Techtest Adjustable Desktop Suspension Mic Boom Scissor...,₹648,"₹2,000",67% off,,
Logitech M100R Wired Optical Mouse,₹408,₹495,17% off,3.9,"(1,662)"
Logitech MX Master 2S Wireless Touch Mouse,"₹5,495","₹6,537",15% off,4.4,(141)
Logitech 5 Pcs Comfort Mouse Pad Long Lasting HEAVY Mou...,₹245,₹350,30% off,3.8,(185)
Logitech MK120 USB 2.0 Keyboard and Mouse Combo,"₹1,099","₹1,199",8% off,4.3,(780)
Logitech 001 Mousepad,₹99,₹399,75% off,3.5,(62)
Logitech H150 Stereo Headset Bluetooth Headset,"₹1,289","₹1,395",7% off,,
Headgear Audio Headphone Stand: Royal Shark for Sennhei...,"₹1,799","₹2,999",40% off,,
Rapoo E1050 Wireless keyboard (2.4 GHz),₹679,₹999,32% off,4.2,"(2,008)"
Microsoft Surface Pro Type Cover Magnetic Laptop Keyboa...,"₹11,099","₹13,399",17% off,4.6,(342)
Logitech M171 Wireless Optical Mouse,₹800,"₹1,017",21% off,4.5,"(2,529)"
Quantum QHM7307 MINI MULTIMEDIA KEYBOARD Wired USB Lapt...,₹399,₹450,11% off,3.9,(605)
Rapoo nk2500 Wired USB Desktop Keyboard,₹549,,,4.2,(79)
Lenovo KM4802 USB 2.0 Keyboard and Mouse Combo,₹960,₹999,3% off,4.2,"(2,848)"
Logitech M90 Wired Optical  Gaming Mouse,₹349,₹395,11% off,4.3,"(1,042)"
Microsoft Surface Go Magnetic Tablet Keyboard,"₹11,799",,,4.6,(489)
Rhobos Portable Mini Bluetooth Wireless Foldable Keyboa...,"₹2,139","₹2,999",28% off,5,(2)
Rapoo X1800 Wireless Keyboard and Mouse Combo,"₹1,750","₹1,799",2% off,4.2,(985)
Logitech WHITE MINI Wireless Optical Mouse,"₹1,025","₹1,095",6% off,3.4,(5)
Logitech Wireless Gamepad F710,"₹3,468","₹4,495",22% off,4.5,"(1,016)"
Logitech G402 Wired Optical Gaming Mouse,"₹2,599","₹2,990",13% off,4.7,"(2,460)"
Logitech M100R USB (Black) Wired Optical Mouse,₹490,₹495,1% off,4.4,(134)
Logitech HD WEBCAM C525  Webcam,"₹3,535","₹4,295",17% off,4.3,(170)
Logitech H111 Wired Headset without Mic,₹740,₹795,6% off,3.8,(115)
Logitech G102 Wired Optical  Gaming Mouse,"₹1,899","₹1,999",5% off,4.6,"(2,671)"
Logitech 'g' Series,"₹1,439","₹2,009",28% off,,
Zebronics Companion 103 Wireless Desktop Keyboard,"₹1,477","₹1,499",1% off,4,(33)
baluda BD-key board-03 Wireless Laptop Keyboard,"₹1,249","₹1,599",21% off,3.5,(19)
baluda Ultra Thin fashion 2.4G Wireless Wireless Laptop...,"₹1,249","₹1,389",10% off,,
HP KB0316 PS2 Desktop Keyboard,₹900,"₹1,000",10% off,,
