Date,Open,High,Low,Close,Adj Close,Volume
2017-02-18,null,null,null,null,null,null
2017-02-20,81.000000,81.300003,80.000000,80.000000,80.000000,7668000
2017-02-21,80.199997,80.699997,80.000000,80.300003,80.300003,4206000
2017-02-22,81.500000,82.400002,81.400002,81.800003,81.800003,10992000
2017-02-23,81.099998,82.300003,80.800003,81.300003,81.300003,6456000
2017-02-24,81.400002,81.400002,80.400002,80.699997,80.699997,5335000
2017-03-01,80.400002,81.900002,80.400002,81.300003,81.300003,5919000
2017-03-02,82.000000,82.300003,81.000000,81.300003,81.300003,7779000
2017-03-03,81.199997,82.000000,80.800003,81.900002,81.900002,5750000
2017-03-06,81.800003,81.800003,81.199997,81.400002,81.400002,3507000
2017-03-07,81.599998,82.000000,81.000000,82.000000,82.000000,6465000
2017-03-08,81.500000,82.099998,81.300003,82.099998,82.099998,4366000
2017-03-09,82.400002,82.400002,81.300003,81.500000,81.500000,5953000
2017-03-10,81.699997,82.099998,80.800003,82.099998,82.099998,3573000
2017-03-13,82.300003,82.300003,81.800003,82.199997,82.199997,2535000
2017-03-14,82.500000,82.800003,82.199997,82.800003,82.800003,5295000
2017-03-15,82.699997,82.900002,82.099998,82.699997,82.699997,5372000
2017-03-16,84.000000,85.300003,84.000000,84.800003,84.800003,17757000
2017-03-17,85.199997,85.300003,84.300003,85.000000,85.000000,10157000
2017-03-20,84.500000,86.500000,84.500000,86.099998,86.099998,6318000
2017-03-21,87.500000,90.000000,87.400002,88.300003,88.300003,18599000
2017-03-22,87.300003,87.800003,86.300003,87.800003,87.800003,5983000
2017-03-23,89.099998,89.099998,87.099998,87.500000,87.500000,6433000
2017-03-24,87.000000,87.099998,86.099998,86.199997,86.199997,6353000
2017-03-27,86.300003,88.199997,86.300003,87.900002,87.900002,6761000
2017-03-28,88.300003,88.800003,87.099998,87.800003,87.800003,7222000
2017-03-29,88.500000,88.900002,88.300003,88.800003,88.800003,5041000
2017-03-30,89.199997,89.199997,88.300003,88.300003,88.300003,4605000
2017-03-31,88.500000,89.800003,88.500000,89.800003,89.800003,10450000
2017-04-05,91.800003,91.800003,90.199997,91.000000,91.000000,9314000
